77 hits shown

3,29,-506
814,-26,28,-510
816,-24,26,-505
817,-24,26,-511
819,-24,27,-509
821,-26,27,-507
823,-24,28,-508
825,-27,29,-510
827,-21,27,-509
828,-23,28,-510
830,-22,30,-509
832,-26,29,-511
834,-22,26,-509
836,-24,28,-510
838,-26,25,-510
839,-26,27,-513
841,-22,27,-511
843,-23,31,-506
845,-25,29,-509
847,-24,27,-511
849,-27,27,-512
850,-25,29,-508
852,-24,26,-511
855,-25,27,-511
857,-24,26,-513
859,-22,28,-510
861,-25,26,-509
862,-25,28,-510
864,-25,28,-512
866,-24,26,-510
868,-25,27,-509
870,-24,29,-511
871,-24,28,-510
873,-23,27,-512
875,-24,26,-510
877,-24,31,-508
879,-23,27,-512
881,-26,29,-509
882,-23,29,-512
884,-25,30,-512
886,-22,26,-510
888,-22,28,-508
890,-23,26,-510
892,-25,29,-512
893,-25,29,-513
896,-25,26,-511
898,-23,26,-513
900,-26,28,-509
902,-26,30,-510
904,-25,30,-514
905,-23,28,-513
907,-28,28,-509
909,-24,27,-511
911,-26,27,-509
913,-24,30,-508
915,-25,26,-512
916,-25,30,-509
918,-24,31,-511
920,-23,26,-510
922,-23,26,-512
924,-26,27,-511
925,-26,26,-511
927,-22,25,-510
929,-26,26,-509
931,-24,29,-508
933,-26,29,-510
935,-23,30,-509
936,-26,28,-510
939,-25,29,-510
941,-25,30,-513
943,-23,28,-510
945,-22,30,-510
947,-23,27,-510
948,-24,29,-509
950,-24,29,-512
952,-24,30,-510
954,-24,29,-512
956,-23,26,-509
958,-27,29,-510
959,-22,27,-510
961,-26,29,-508
963,-26,27,-511
965,-24,27,-508
967,-23,26,-509
969,-25,30,-512
970,-23,26,-507
972,-24,27,-510
974,-24,30,-511
976,-23,29,-512
978,-23,30,-510
979,-23,30,-508
982,-27,30,-508
984,-23,32,-509
986,-24,28,-509
988,-25,28,-509
990,-23,30,-509
991,-24,26,-511
993,-25,28,-511
995,-25,29,-509
997,-25,28,-514
999,-24,31,-506
1001,-25,26,-512
1002,-26,30,-511
1004,-24,26,-511
1006,-21,28,-510
1008,-23,26,-510
1010,-25,28,-510
1012,-27,31,-510
1014,-22,29,-511
1016,-25,28,-510
1017,-24,29,-512
1019,-22,27,-510
1021,-23,27,-513
1024,-26,30,-509
1026,-24,24,-510
1028,-21,28,-510
1030,-21,27,-509
1032,-23,29,-511
1033,-23,31,-514
1035,-20,28,-510
1037,-23,28,-509
1039,-25,28,-510
1041,-27,26,-510
1043,-24,29,-510
1045,-24,27,-511
1046,-25,26,-510
1048,-22,30,-510
1050,-23,28,-510
1052,-27,29,-513
1054,-25,27,-510
1056,-24,26,-510
1058,-25,26,-511
1060,-23,27,-512
1061,-23,25,-511
1063,-24,33,-510
1065,-25,29,-511
1068,-24,29,-509
1070,-25,29,-508
1072,-24,26,-508
1074,-25,28,-512
1076,-23,28,-507
1077,-24,30,-512
1079,-23,28,-508
1081,-28,28,-511
1083,-27,26,-514
1085,-24,28,-512
1087,-24,27,-509
1089,-26,27,-509
